n,date,day-week,day-month,val,weekend,holiday,sequia,,,,,,,,,,,,,,,,,
179,28/6/2007,jueves,28,2175.49,0,0,1,,,,,,,,,,,,,,,,,
180,29/6/2007,viernes,29,2225.19,0,0,1,,,,,,,,,,,,,,,,,
181,30/6/2007,sábado,30,2256.12,1,0,1,,,,,,,,,,,,,,,,,
182,1/7/2007,domingo,1,2163.98,1,0,1,,,,,,,,,,,,,,,,,
183,2/7/2007,lunes,2,2159.20,0,0,1,,,,,,,,,,,,,,,,,
184,3/7/2007,martes,3,2215.30,0,0,1,,,,,,,,,,,,,,,,,
185,4/7/2007,miércoles,4,2304.63,0,0,1,,,,,,,,,,,,,,,,,
186,5/7/2007,jueves,5,2181.26,0,0,1,,,,,,,,,,,,,,,,,
187,6/7/2007,viernes,6,2288.41,0,0,1,,,,,,,,,,,,,,,,,
188,7/7/2007,sábado,7,2255.66,1,0,1,,,,,,,,,,,,,,,,,
189,8/7/2007,domingo,8,2191.34,1,0,1,,,,,,,,,,,,,,,,,
190,9/7/2007,lunes,9,2202.41,0,0,1,,,,,,,,,,,,,,,,,
191,10/7/2007,martes,10,2199.02,0,0,1,,,,,,,,,,,,,,,,,
192,11/7/2007,miércoles,11,2262.54,0,0,1,,,,,,,,,,,,,,,,,
193,12/7/2007,jueves,12,2286.33,0,0,1,,,,,,,,,,,,,,,,,
194,13/7/2007,viernes,13,2358.65,0,0,1,,,,,,,,,,,,,,,,,
195,14/7/2007,sábado,14,2198.14,1,0,1,,,,,,,,,,,,,,,,,
196,15/7/2007,domingo,15,2215.85,1,0,1,,,,,,,,,,,,,,,,,
197,16/7/2007,lunes,16,2244.27,0,0,1,,,,,,,,,,,,,,,,,
198,17/7/2007,martes,17,2162.42,0,0,1,,,,,,,,,,,,,,,,,
199,18/7/2007,miércoles,18,2241.75,0,0,1,,,,,,,,,,,,,,,,,
200,19/7/2007,jueves,19,2194.64,0,0,1,,,,,,,,,,,,,,,,,
201,20/7/2007,viernes,20,2218.77,0,0,1,,,,,,,,,,,,,,,,,
202,21/7/2007,sábado,21,2113.07,1,0,1,,,,,,,,,,,,,,,,,
203,22/7/2007,domingo,22,2018.02,1,0,1,,,,,,,,,,,,,,,,,
204,23/7/2007,lunes,23,2111.66,0,0,1,,,,,,,,,,,,,,,,,
205,24/7/2007,martes,24,2204.52,0,0,1,,,,,,,,,,,,,,,,,
206,25/7/2007,miércoles,25,1999.98,0,0,1,,,,,,,,,,,,,,,,,
207,26/7/2007,jueves,26,1718.28,0,0,1,,,,,,,,,,,,,,,,,
208,27/7/2007,viernes,27,2252.17,0,0,1,,,,,,,,,,,,,,,,,
209,28/7/2007,sábado,28,2115.02,1,0,1,,,,,,,,,,,,,,,,,
210,29/7/2007,domingo,29,2098.27,1,0,1,,,,,,,,,,,,,,,,,
211,30/7/2007,lunes,30,2215.78,0,0,1,,,,,,,,,,,,,,,,,
212,31/7/2007,martes,31,2273.21,0,0,1,,,,,,,,,,,,,,,,,
213,1/8/2007,miércoles,1,2239.61,0,0,1,,,,,,,,,,,,,,,,,
214,2/8/2007,jueves,2,2190.49,0,0,1,,,,,,,,,,,,,,,,,
215,3/8/2007,viernes,3,2368.63,0,0,1,,,,,,,,,,,,,,,,,
216,4/8/2007,sábado,4,2267.45,1,0,1,,,,,,,,,,,,,,,,,
217,5/8/2007,domingo,5,2197.32,1,0,1,,,,,,,,,,,,,,,,,
218,6/8/2007,lunes,6,2183.92,0,0,1,,,,,,,,,,,,,,,,,
219,7/8/2007,martes,7,2246.63,0,0,1,,,,,,,,,,,,,,,,,
220,8/8/2007,miércoles,8,2209.69,0,0,1,,,,,,,,,,,,,,,,,
221,9/8/2007,jueves,9,2145.46,0,0,1,,,,,,,,,,,,,,,,,
222,10/8/2007,viernes,10,2135.32,0,1,1,,,,,,,,,,,,,,,,,
223,11/8/2007,sábado,11,1987.10,1,0,1,,,,,,,,,,,,,,,,,
224,12/8/2007,domingo,12,1860.71,1,0,1,,,,,,,,,,,,,,,,,
225,13/8/2007,lunes,13,2047.40,0,0,1,,,,,,,,,,,,,,,,,
226,14/8/2007,martes,14,2191.21,0,0,1,,,,,,,,,,,,,,,,,
227,15/8/2007,miércoles,15,2215.28,0,0,1,,,,,,,,,,,,,,,,,
228,16/8/2007,jueves,16,2278.43,0,0,1,,,,,,,,,,,,,,,,,
229,17/8/2007,viernes,17,2170.58,0,0,1,,,,,,,,,,,,,,,,,
230,18/8/2007,sábado,18,2182.29,1,0,1,,,,,,,,,,,,,,,,,
231,19/8/2007,domingo,19,2019.38,1,0,1,,,,,,,,,,,,,,,,,
232,20/8/2007,lunes,20,2128.71,0,0,1,,,,,,,,,,,,,,,,,
233,21/8/2007,martes,21,2269.07,0,0,1,,,,,,,,,,,,,,,,,
234,22/8/2007,miércoles,22,2222.16,0,0,1,,,,,,,,,,,,,,,,,
235,23/8/2007,jueves,23,1826.14,0,0,1,,,,,,,,,,,,,,,,,
236,24/8/2007,viernes,24,2427.20,0,0,1,,,,,,,,,,,,,,,,,
237,25/8/2007,sábado,25,2286.74,1,0,1,,,,,,,,,,,,,,,,,
238,26/8/2007,domingo,26,2036.16,1,0,1,,,,,,,,,,,,,,,,,
239,27/8/2007,lunes,27,2073.06,0,0,1,,,,,,,,,,,,,,,,,
240,28/8/2007,martes,28,2236.34,0,0,1,,,,,,,,,,,,,,,,,
241,29/8/2007,miércoles,29,2093.76,0,0,1,,,,,,,,,,,,,,,,,
242,30/8/2007,jueves,30,2110.17,0,0,1,,,,,,,,,,,,,,,,,
243,31/8/2007,viernes,31,2114.10,0,0,1,,,,,,,,,,,,,,,,,
244,1/9/2007,sábado,1,2049.64,1,0,1,,,,,,,,,,,,,,,,,
245,2/9/2007,domingo,2,2027.58,1,0,1,,,,,,,,,,,,,,,,,
246,3/9/2007,lunes,3,2090.90,0,0,1,,,,,,,,,,,,,,,,,
247,4/9/2007,martes,4,2089.93,0,0,1,,,,,,,,,,,,,,,,,
248,5/9/2007,miércoles,5,2278.62,0,0,1,,,,,,,,,,,,,,,,,
249,6/9/2007,jueves,6,2305.52,0,0,1,,,,,,,,,,,,,,,,,
250,7/9/2007,viernes,7,2246.63,0,0,1,,,,,,,,,,,,,,,,,
251,8/9/2007,sábado,8,2305.51,1,0,1,,,,,,,,,,,,,,,,,
252,9/9/2007,domingo,9,2351.24,1,0,1,,,,,,,,,,,,,,,,,
253,10/9/2007,lunes,10,2302.32,0,0,1,,,,,,,,,,,,,,,,,
254,11/9/2007,martes,11,2424.70,0,0,1,,,,,,,,,,,,,,,,,
255,12/9/2007,miércoles,12,2442.36,0,0,1,,,,,,,,,,,,,,,,,
256,13/9/2007,jueves,13,2488.59,0,0,1,,,,,,,,,,,,,,,,,
257,14/9/2007,viernes,14,2341.09,0,0,1,,,,,,,,,,,,,,,,,
258,15/9/2007,sábado,15,2550.58,1,0,1,,,,,,,,,,,,,,,,,
259,16/9/2007,domingo,16,2193.70,1,0,1,,,,,,,,,,,,,,,,,
260,17/9/2007,lunes,17,2196.61,0,0,1,,,,,,,,,,,,,,,,,
